policyNo,certNo,customerId
9005,03894934,3261047
9005,03895424,1395107
9005,03896006,2745592
9005,03896133,2884017
9005,03896648,1032703
9005,03896756,10068093
9005,03896811,718950
9005,03896855,5153619
9005,03896882,2444445
9005,03896968,8844600
9005,03897011,3767811
9005,03897040,10325691
9005,03897205,393758
9005,03897222,1151400
9005,03897262,8262269
9005,03897314,2759986
9005,03897417,7431827
9005,03897420,1483467
9005,03897528,4661337
9005,03897542,2330907
9005,03897554,2465680
9005,03897566,4103321
9005,03897601,9442142
9005,03897634,3193313
9005,03897668,1822603
9005,03897799,10296525
9005,03897862,987413
9005,03898008,2865669
9005,03898098,502156
9005,03898360,10463114
9005,03898377,293792
9005,03898563,4027638
9005,03898622,6271086
9005,03898631,505470
9005,03898651,2157694
9005,03898768,2765752
9005,03898798,1062832
9005,03898845,899037
9005,03898895,7717568
9005,03898931,6842178
9005,03899137,9921016
9005,03899158,2742720
9005,03899241,2080047
9005,03899346,577158
9005,03899348,9893799
9005,03899410,818984
9005,03899420,5543028
9005,03899635,2587874
9005,03899734,2196641
9005,03899737,436927
9005,03899810,2015179
9005,03899916,1559089
9005,03899999,10118272
9005,03900021,2896152
9005,03900050,6606635
9005,03900084,2916498
9005,03900212,1607439
9005,03900233,6621567
9005,03900295,2986622
9005,03900306,3211390
9005,03900327,9351796
9005,03900340,1108601
9005,03900360,2331069
9005,03900364,7419070
9005,03900381,2654647
9005,03900401,989614
9005,03900403,1037018
9005,03900439,10065088
9005,03900491,716031
9005,03900497,9283714
9005,03900574,968651
9005,03900689,1845977
9005,03900697,201315
9005,03900759,890964
9005,03900781,7698143
9005,03900890,883880
9005,03900978,2763300
9005,03901026,968572
9005,03901128,3094087
9005,03901243,2114391
9005,03901522,389164
9005,03901934,3020005
9005,03902012,2664983
9005,03902371,1536609
9005,03902609,1257609
9005,03902639,9568993
9005,03902837,636803
9005,03902910,1329097
9005,03902917,439877
9005,03902933,1890628
9005,03903092,1010069
9005,03903393,2855043
9005,03903928,10113403
9005,03904715,2628203
9005,03904844,8024110
9005,03905459,2083372
9005,03905529,9174154
9005,03906131,1521699
9005,03906203,2006987
9005,03906235,574805
9005,03906256,1037591
9005,03906617,906667
9005,03906805,38364
9005,03907019,2080948
9005,03907196,2990385
9005,03907281,175944
9005,03907357,4272710
9005,03907541,1405150
9005,03907711,812062
9005,03907778,2395929
9005,03907842,9133574
9005,03908038,2253481
9005,03908186,2196852
9005,03908261,1143261
9005,03908294,6258360
9005,03908355,10494470
9005,03908377,3727289
9005,03908387,1745997
9005,03908506,2749154
9005,03908522,1745408
9005,03908602,2996438
9005,03908671,2182806
9005,03908791,2210897
9005,03908979,4157262
9005,03909005,9773411
9005,03909091,608079
9005,03909094,2314279
9005,03909144,901859
9005,03909251,3081370
9005,03909488,2841920
9005,03909713,2980888
9005,03909807,3132185
9005,03909957,2667071
9005,03910087,4842701
9005,03910274,550958
9005,03910321,8000387
9005,03910368,9692585
9005,03910412,3423154
9005,03910500,8460622
9005,03910574,954837
9005,03910592,5489513
9005,03910727,9995362
9005,03910757,1884334
9005,03911155,10422264
9005,03911531,6423484
