rpno,policyno,paydate,mode,type
C49222730101,22960990,2561,1,UL
C50456130101,22989655,2561,1,UL
451610027897,22811495,2561,1,ULIP
C48683090101,22949645,2561,1,ULIP
C48683100101,22949646,2561,1,ULIP
C48780660101,22950958,2561,1,UL
C48964830101,22956028,2561,1,UL
C48966230101,22956054,2561,1,UL
C48971340101,22956123,2561,1,UL
C48976520101,22956308,2561,1,UL
C49129950101,22959341,2561,1,UL
C49189720101,22960310,2561,1,UL
C48806090101,22951744,2561,1,ULIP
C48976500101,22956307,2561,1,UL
C48989570101,22956423,2561,1,UL
C48806760101,22951745,2561,1,ULIP
C48806890101,22951746,2561,1,ULIP
C48957930101,22955518,2561,1,UL
C48988850101,22956401,2561,1,UL
C49055080101,22958098,2561,1,UL
C49260230101,22962149,2561,1,UL
C48975010101,22956263,2561,1,UL
C49037190101,22957729,2561,1,UL
C49044690101,22957880,2561,1,UL
C49478590101,22967351,2561,1,UL
451610036318,22817662,2561,1,ULIP
451610036380,22819079,2561,1,ULIP
C49370810101,22964877,2561,1,UL
C49132630101,22959384,2561,1,UL
C49269670101,22962451,2561,1,UL
C49041910101,22957844,2561,1,ULIP
C49383000101,22965178,2561,1,UL
C49093560101,22958807,2561,1,UL
C49185750101,22960211,2561,1,UL
C49157730101,22959673,2561,1,UL
C49169010101,22959863,2561,1,UL
C49175560101,22959927,2561,1,UL
C49275220101,22962740,2561,1,UL
C49390670101,22965422,2561,1,UL
C49394130101,22965454,2561,1,UL
C49411010101,22965878,2561,1,UL
C49446780101,22966661,2561,1,UL
C49467780101,22967096,2561,1,UL
C49601180101,22968880,2561,1,UL
C49952470101,22978537,2561,1,UL
451610036864,22822110,2561,1,ULIP
C49092280101,22958770,2561,1,ULIP
C49101120101,22959034,2561,1,ULIP
C49139770101,22959448,2561,1,ULIP
C49370230101,22964859,2561,1,UL
92610032413,22823358,2561,1,ULIP
C49404980101,22965734,2561,1,UL
7610125222,22830685,2561,1,ULIP
C49337200101,22963988,2561,1,UL
C49421310101,22966167,2561,1,UL
C49314170101,22963658,2561,1,ULIP
C49370070101,22964854,2561,1,UL
C49351360101,22964348,2561,1,ULIP
C49351380101,22964350,2561,1,ULIP
C49412530101,22965892,2561,1,UL
C49606550101,22969004,2561,1,UL
C49370370101,22964864,2561,1,ULIP
C49386150101,22965300,2561,1,ULIP
C49422020101,22966186,2561,1,UL
610012603,22832683,2561,1,ULIP
C49442510101,22966650,2561,1,ULIP
C49442580101,22966652,2561,1,ULIP
C50629110101,22994173,2561,1,UL
C49470010101,22967177,2561,1,ULIP
C49475340101,22967290,2561,1,ULIP
C49485410101,22967477,2561,1,ULIP
C49613250101,22969088,2561,1,UL
C49680450101,22971149,2561,1,UL
C49685790101,22971405,2561,1,UL
C49695620101,22971736,2561,1,UL
C49711900101,22972195,2561,1,UL
C49721020101,22972565,2561,1,UL
C49747270101,22973471,2561,1,UL
C49760110101,22973867,2561,1,UL
C49770110101,22974119,2561,1,UL
C49774080101,22974288,2561,1,UL
C49779000101,22974511,2561,1,UL
C49915640101,22977785,2561,1,UL
C49959750101,22978756,2561,1,UL
C50066970101,22980314,2561,1,UL
C49512340101,22967881,2561,1,ULIP
C49521720101,22968121,2561,1,ULIP
C49684780101,22971358,2561,1,UL
571610097910,22843298,2561,1,ULIP
C49805120101,22975182,2561,1,UL
C49801500101,22975086,2561,1,UL
C50197880101,22984375,2561,1,UL
831610006062,22836119,2561,1,ULIP
C49799960101,22975051,2561,1,UL
C49765830101,22974028,2561,1,ULIP
C49837840101,22975237,2561,1,UL
C49885740101,22976211,2561,1,UL
C49858280101,22976567,2561,1,UL
C49778110101,22974468,2561,1,ULIP
C49787860101,22974755,2561,1,ULIP
C49795540101,22975046,2561,1,ULIP
C49798230101,22975047,2561,1,ULIP
C49799920101,22975049,2561,1,ULIP
C50276440101,22986412,2561,1,UL
C49804010101,22975144,2561,1,ULIP
C49808000101,22975306,2561,1,ULIP
C49829540101,22975808,2561,1,ULIP
C50181650101,22983842,2561,1,UL
C50287960101,22986712,2561,1,UL
C49873960101,22976927,2561,1,ULIP
C49875600101,22976947,2561,1,ULIP
C50261090101,22986137,2561,1,UL
821610006912,22841345,2561,1,ULIP
C49897930101,22977372,2561,1,ULIP
C49900910101,22977447,2561,1,ULIP
C50148780101,22982714,2561,1,UL
C49917080101,22977809,2561,1,ULIP
C50149110101,22982727,2561,1,UL
C50186640101,22983953,2561,1,UL
74610021295,22849688,2561,1,ULIP
C49932120101,22978195,2561,1,ULIP
C50077600101,22980643,2561,1,UL
C50148270101,22982694,2561,1,UL
C50315100101,22987403,2561,1,UL
C49963310101,22978873,2561,1,ULIP
C50042570101,22979725,2561,1,UL
C50107990101,22981430,2561,1,UL
C50111280101,22981491,2561,1,UL
C50187350101,22983982,2561,1,UL
C50219950101,22984939,2561,1,UL
C50283530101,22986647,2561,1,UL
C50608630101,22993638,2561,1,UL
C49975290101,22978979,2561,1,ULIP
C49999620101,22979116,2561,1,ULIP
C50258920101,22982679,2561,1,UL
C50273040101,22985520,2561,1,UL
C50191360101,22984137,2561,1,UL
610016614,22021341,2561,1,UL
C50546080101,22991441,2561,1,UL
610016801,22851404,2561,1,ULIP
610016802,22851402,2561,1,ULIP
C50281810101,22986613,2561,1,UL
998610058927,22451055,2561,1,UL
C50243450101,22985687,2561,1,ULIP
937610025283,22845934,2561,1,ULIP
C50265350101,22986215,2561,1,ULIP
C50689550101,22995519,2561,1,UL
C50281750101,22986609,2561,1,ULIP
816610012721,22848423,2561,1,ULIP
C50293840101,22986882,2561,1,ULIP
C50312550101,22987355,2561,1,ULIP
C50341100101,22988030,2561,1,ULIP
C50385990101,22988719,2561,1,UL
C50827820101,22998283,2561,1,UL
C51017440101,23000654,2561,1,UL
C50994880101,23002064,2561,1,UL
C51088820101,23002966,2561,1,UL
C51269020101,23007855,2561,1,UL
C50723290101,22996249,2561,1,UL
C50364370101,22988482,2561,1,ULIP
C50364590101,22988483,2561,1,ULIP
C50364640101,22988484,2561,1,ULIP
C50364690101,22988485,2561,1,ULIP
C50365820101,22988487,2561,1,ULIP
C50427540101,22989237,2561,1,UL
C50504900101,22989885,2561,1,UL
C50484590101,22989963,2561,1,UL
C50852930101,22998578,2561,1,UL
C51573450101,23014998,2561,1,UL
C50386750101,22988737,2561,1,ULIP
C50386930101,22988740,2561,1,ULIP
945610000131,22860836,2561,1,ULIP
998610070841,22151262,2561,1,UL
C50555240101,22992107,2561,1,UL
7610178239,22850794,2561,1,ULIP
7610178240,22850796,2561,1,ULIP
C50466810101,22989860,2561,1,ULIP
C50468890101,22989875,2561,1,ULIP
C50685790101,22994323,2561,1,UL
C50488780101,22990043,2561,1,ULIP
651610035936,22855911,2561,1,ULIP
C50627810101,22994132,2561,1,UL
74610028439,22862693,2561,1,ULIP
74610028440,22862958,2561,1,ULIP
C50954210101,23000849,2561,1,UL
C50954800101,23000887,2561,1,UL
C50956770101,23000949,2561,1,UL
C50956960101,23000956,2561,1,UL
610019843,22466975,2561,1,UL
C50698180101,22995746,2561,1,UL
7610203573,22870318,2561,1,ULIP
C50707830101,22995941,2561,1,ULIP
C50712300101,22996054,2561,1,ULIP
C50724630101,22996303,2561,1,ULIP
610020808,22018868,2561,1,UL
C51009000101,23002452,2561,1,UL
C50741870101,22996593,2561,1,ULIP
C52127090101,23026450,2561,1,UL
C50751740101,22996920,2561,1,ULIP
C50888330101,22999099,2561,1,UL
610021436,22029229,2561,1,UL
C50901790101,22999403,2561,1,UL
C50920810101,22999879,2561,1,UL
C50922340101,22999921,2561,1,UL
C50923330101,22999962,2561,1,UL
C50814710101,22998037,2561,1,ULIP
61610087406,22865889,2561,1,ULIP
C51045260101,23003360,2561,1,UL
C51144240101,23005844,2561,1,UL
998610095667,22886911,2561,1,UL
C50954430101,23000861,2561,1,ULIP
C50982300101,23001709,2561,1,ULIP
C51533120101,23014111,2561,1,UL
C51034110101,23003051,2561,1,ULIP
C51034120101,23003052,2561,1,ULIP
C51337310101,23008719,2561,1,UL
C51143100101,23005804,2561,1,UL
