,applicationid,applicationno,agentid,updatedate,
,46272,620004942,0000072616,2019-06-15 19:25:56.412,
,46270,620004941,0000221584,2019-06-15 19:25:49.503,
,46268,620004938,0000550124,2019-06-15 19:25:44.553,
,46269,620004939,0000631481,2019-06-15 19:25:43.173,
,46267,620004937,0000508962,2019-06-15 19:25:38.543,
,46266,620004936,0000694128,2019-06-15 19:25:24.175,
,46265,620004935,0000632550,2019-06-15 19:24:59.476,
,46263,620004933,0000617286,2019-06-15 19:23:38.063,
,46261,620004931,0000564143,2019-06-15 19:23:37.497,
,46262,620004932,0000661322,2019-06-15 19:23:34.253,
,46260,620004930,0000632628,2019-06-15 19:23:31.954,
,46259,620004929,0000531336,2019-06-15 19:22:26.295,
,46258,620004926,0000628055,2019-06-15 19:22:21.924,
,46256,620004924,0000617126,2019-06-15 19:22:17.989,
,46257,620004925,0000006921,2019-06-15 19:22:16.675,
,46255,620004927,0000657361,2019-06-15 19:22:15.228,
,46253,620004922,0000016423,2019-06-15 19:22:13.116,
,46251,620004920,0000658348,2019-06-15 19:22:08.866,
,46250,620004919,0000637425,2019-06-15 19:22:06.49,
,46248,620004916,0000528551,2019-06-15 19:22:06.284,
,46249,620004917,0000635982,2019-06-15 19:22:06.119,
,46252,620004921,0000164149,2019-06-15 19:22:05.814,
,46246,620004914,0000628351,2019-06-15 19:22:02.96,
,46245,620004913,0000016970,2019-06-15 19:22:00.447,
,46247,620004918,0000012552,2019-06-15 19:21:58.819,
,46244,620004915,0000642039,2019-06-15 19:21:56.38,
,46242,620004912,0000337497,2019-06-15 19:21:53.733,
,46238,620004909,0000019731,2019-06-15 19:21:50.753,
,46237,620004906,0000015545,2019-06-15 19:21:50.531,
,46240,620004907,0000017627,2019-06-15 19:21:49.887,
,46241,620004910,0000003868,2019-06-15 19:21:49.817,
,46239,620004908,0000093842,2019-06-15 19:21:49.723,
,46236,620004905,0000027292,2019-06-15 19:21:44.521,
,46235,620004904,0000653699,2019-06-15 19:21:44.081,
,46234,620004903,0000108027,2019-06-15 19:21:33.699,
,46230,620004899,0000063555,2019-06-15 19:21:33.21,
,46231,620004900,0000618092,2019-06-15 19:21:32.631,
,46233,620004902,0000626671,2019-06-15 19:21:32.085,
,46229,620004898,0000656809,2019-06-15 19:21:13.479,
,46228,620004897,0000550175,2019-06-15 19:07:04.188,
,46227,620004896,0000521318,2019-06-15 19:06:35.78,
,46226,620004895,0000573403,2019-06-15 19:00:20.819,
,46198,620004866,0000003868,2019-06-15 18:55:31.999,
,46195,620004865,0000015545,2019-06-15 18:55:25.798,
,46193,620004861,0000657361,2019-06-15 18:55:23.953,
,46177,620004845,0000657361,2019-06-15 17:55:48.358,
,46178,620004844,0000573403,2019-06-15 17:55:47.469,
,46176,620004846,0000656809,2019-06-15 17:55:44.253,
,46175,620004843,0000003868,2019-06-15 17:55:34.694,
,46174,620004842,0000644355,2019-06-15 17:55:28.872,
,46173,620004841,0000016423,2019-06-15 17:54:48.866,
,46172,620004840,0000617286,2019-06-15 17:53:27.646,
,46171,620004839,0000653699,2019-06-15 17:53:26.814,
,46170,620004838,0000528551,2019-06-15 17:53:23.536,
,46169,620004837,0000637425,2019-06-15 17:53:08.026,
,46168,620004835,0000531336,2019-06-15 17:53:00.702,
,46166,620004834,0000642039,2019-06-15 17:52:43.988,
,46165,620004833,0000508962,2019-06-15 17:52:39.458,
,46164,620004831,0000017627,2019-06-15 17:52:26.48,
,46162,620004830,0000658348,2019-06-15 17:52:24.755,
,46161,620004828,0000012552,2019-06-15 17:52:23.495,
,46163,620004832,0000550124,2019-06-15 17:52:21.502,
,46157,620004823,0000164149,2019-06-15 17:52:19.68,
,46158,620004827,0000195560,2019-06-15 17:52:19.679,
,46160,620004829,0000337497,2019-06-15 17:52:17.674,
,46155,620004824,0000016970,2019-06-15 17:52:16.463,
,46154,620004821,0000617126,2019-06-15 17:52:15.632,
,46156,620004826,0000019731,2019-06-15 17:52:14.648,
,46152,620004820,0000626671,2019-06-15 17:52:11.284,
,46153,620004822,0000631481,2019-06-15 17:52:07.13,
,46149,620004816,0000005057,2019-06-15 17:52:05.691,
,46148,620004815,0000564143,2019-06-15 17:52:03.527,
,46151,620004818,0000632628,2019-06-15 17:52:02.324,
,46150,620004819,0000093842,2019-06-15 17:52:01.975,
,46147,620004817,0000661322,2019-06-15 17:51:59.163,
,46143,620004811,0000521318,2019-06-15 17:51:56.386,
,46145,620004812,0000628351,2019-06-15 17:51:52.864,
,46144,620004813,0000618092,2019-06-15 17:51:52.626,
,46141,620004808,0000108027,2019-06-15 17:51:51.714,
,46140,620004807,0000016764,2019-06-15 17:51:50.63,
,46139,620004810,0000632550,2019-06-15 17:51:46.79,
,46138,620004806,0000550175,2019-06-15 17:51:43.61,
,46137,620004805,0000006921,2019-06-15 17:51:40.382,
,46136,620004804,0000015545,2019-06-15 17:51:38.204,
,46135,620004803,0000063555,2019-06-15 17:51:37.991,
,46134,620004801,0000635982,2019-06-15 17:51:33.618,
,46133,620004802,0000628055,2019-06-15 17:51:25.655,
,46132,620004800,0000694128,2019-06-15 17:51:18.91,
,46131,620004799,0000027292,2019-06-15 17:51:02.335,
,46130,620004798,0000221584,2019-06-15 17:37:04.583,
,46129,620004797,0000072616,2019-06-15 17:30:52.885,
,46103,620004770,0000528551,2019-06-15 17:25:35.985,
,46100,620004769,0000093842,2019-06-15 17:25:33.154,
,46099,620004767,0000653699,2019-06-15 17:25:29.723,
,46080,620004747,0000626671,2019-06-15 16:25:53.647,
,46076,620004744,0000617126,2019-06-15 16:25:49.528,
,46078,620004746,0000631481,2019-06-15 16:25:49.133,
,46079,620004748,0000508962,2019-06-15 16:25:48.949,
